VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
1,2020/12/1 0:13,2020/12/1 0:19,1,2,1,N,229,263,1,7.5,3,0.5,2.25,0,0.3,13.55,2.5
2,2020/12/1 0:01,2020/12/1 0:12,1,1.93,1,N,236,143,1,9.5,0.5,0.5,2.66,0,0.3,15.96,2.5
1,2020/12/1 0:04,2020/12/1 0:04,1,0,1,N,42,42,2,2.5,0.5,0.5,0,0,0.3,3.8,0
1,2020/12/1 0:39,2020/12/1 0:47,1,2.8,1,N,10,197,1,10.5,0.5,0.5,7,0,0.3,18.8,0
2,2020/12/1 0:02,2020/12/1 0:12,1,2.2,1,N,237,143,1,9.5,0.5,0.5,2.66,0,0.3,15.96,2.5
2,2020/12/1 0:00,2020/12/1 0:13,2,5.1,1,N,137,80,1,16.5,0.5,0.5,5.08,0,0.3,25.38,2.5
2,2020/12/1 0:24,2020/12/1 0:48,2,17.95,2,N,132,114,1,52,0,0.5,16.59,0,0.3,71.89,2.5
2,2020/12/1 0:08,2020/12/1 0:30,1,6.77,1,N,237,102,1,22.5,0.5,0.5,5.26,0,0.3,31.56,2.5
2,2020/12/1 0:08,2020/12/1 0:25,1,4.67,1,N,237,223,2,16.5,0.5,0.5,0,0,0.3,20.3,2.5
2,2020/12/1 0:46,2020/12/1 1:03,1,8.76,1,N,132,95,2,26,0.5,0.5,0,0,0.3,27.3,0
1,2020/12/1 0:38,2020/12/1 1:00,1,6.9,1,N,137,37,1,22.5,3,0.5,2,0,0.3,28.3,2.5
2,2020/11/30 23:52,2020/11/30 23:54,1,0.7,1,N,163,50,2,4,0.5,0.5,0,0,0.3,7.8,2.5
2,2020/12/1 0:05,2020/12/1 0:08,1,0.7,1,N,48,50,1,4.5,0.5,0.5,1,0,0.3,9.3,2.5
2,2020/12/1 0:44,2020/12/1 0:46,1,1,1,N,249,90,1,5,0.5,0.5,1.76,0,0.3,10.56,2.5
2,2020/12/1 0:41,2020/12/1 1:03,1,10.82,1,N,138,142,1,32,0.5,0.5,8.38,6.12,0.3,50.3,2.5
2,2020/12/1 0:50,2020/12/1 1:03,1,3.75,1,N,237,211,2,13.5,0.5,0.5,0,0,0.3,17.3,2.5
2,2020/12/1 0:48,2020/12/1 1:03,1,3.44,1,N,211,52,1,14,0.5,0.5,3.56,0,0.3,21.36,2.5
2,2020/12/1 0:04,2020/12/1 0:10,1,2.38,1,N,142,68,1,8.5,0.5,0.5,2,0,0.3,14.3,2.5
2,2020/12/1 0:12,2020/12/1 0:20,6,0.55,1,N,41,74,2,5,0.5,0.5,0,0,0.3,6.3,0
2,2020/12/1 0:09,2020/12/1 0:25,4,4.09,1,N,137,239,1,15,0.5,0.5,3.76,0,0.3,22.56,2.5
2,2020/12/1 0:40,2020/12/1 1:05,6,18.78,2,N,132,114,1,52,0,0.5,13.82,0,0.3,69.12,2.5
2,2020/12/1 0:20,2020/12/1 0:33,1,4.96,1,N,75,7,1,15.5,0.5,0.5,0,0,0.3,19.3,2.5
2,2020/12/1 0:20,2020/12/1 0:34,1,5.13,1,N,170,260,2,16.5,0.5,0.5,0,0,0.3,20.3,2.5
2,2020/12/1 0:16,2020/12/1 0:48,1,10.5,1,N,138,114,1,31.5,0.5,0.5,10.59,0,0.3,45.89,2.5
1,2020/12/1 0:43,2020/12/1 0:59,1,6.9,1,N,132,197,2,21.5,0.5,0.5,0,0,0.3,22.8,0
1,2020/12/1 0:07,2020/12/1 0:13,1,2.5,1,N,233,263,2,8.5,3,0.5,0,0,0.3,12.3,2.5
1,2020/12/1 0:56,2020/12/1 1:02,1,1.6,1,N,230,141,1,7.5,3,0.5,2.25,0,0.3,13.55,2.5
2,2020/12/1 0:54,2020/12/1 1:01,4,3.2,1,N,132,10,1,10.5,0.5,0.5,2.95,0,0.3,14.75,0
1,2020/12/1 0:17,2020/12/1 0:24,1,1.5,1,N,166,238,1,7.5,3,0.5,1,0,0.3,12.3,2.5
2,2020/12/1 0:37,2020/12/1 0:42,1,1.39,1,N,229,262,2,6.5,0.5,0.5,0,0,0.3,10.3,2.5
2,2020/12/1 0:47,2020/12/1 0:55,1,2.94,1,N,140,107,2,10.5,0.5,0.5,0,0,0.3,14.3,2.5
1,2020/12/1 0:43,2020/12/1 0:52,2,3.5,1,N,132,10,1,12.5,0.5,0.5,0,0,0.3,13.8,0
2,2020/12/1 0:33,2020/12/1 0:38,1,0.77,1,N,68,234,1,5.5,0.5,0.5,1.5,0,0.3,10.8,2.5
2,2020/11/30 23:59,2020/12/1 0:13,2,4.48,1,N,87,68,1,15,0.5,0.5,2,0,0.3,20.8,2.5
2,2020/12/1 0:47,2020/12/1 0:51,2,1.43,1,N,162,107,1,6,0.5,0.5,1.96,0,0.3,11.76,2.5
2,2020/12/1 0:31,2020/12/1 0:38,1,2.25,1,N,263,74,2,8.5,0.5,0.5,0,0,0.3,12.3,2.5
2,2020/11/30 23:49,2020/11/30 23:59,1,2.56,1,N,262,151,1,10,0.5,0.5,2,0,0.3,15.8,2.5
2,2020/12/1 0:04,2020/12/1 0:08,1,1.05,1,N,238,24,1,5.5,0.5,0.5,2.04,0,0.3,8.84,0
2,2020/12/1 0:21,2020/12/1 0:39,1,8.46,1,N,231,193,2,24.5,0.5,0.5,0,0,0.3,28.3,2.5
1,2020/12/1 0:31,2020/12/1 0:39,1,1.7,1,N,249,231,1,8.5,3,0.5,2.45,0,0.3,14.75,2.5
1,2020/12/1 0:44,2020/12/1 0:56,1,4.2,1,N,125,142,1,13.5,3,0.5,3.45,0,0.3,20.75,2.5
