brewery_name,type,state,state_breweries,state_Brewpub,state_Microbrewery,state_RegionalBrewery,state_ContractBrewery,state_MultitapBar,state_BOP-BrewOnPremise
"Brew Kettle, Taproom & Smokehouse, The.",Brewpub,Ohio,56,31,18.0,2.0,5.0,0.0,0.0
"Brew Keeper, The",Brewpub,Ohio,56,31,18.0,2.0,5.0,0.0,0.0
Boston Beer Co - DBA Samuel Adams Brewing Co.,RegionalBrewery,Ohio,56,31,18.0,2.0,5.0,0.0,0.0
Blueberry Hill,Brewpub,Ohio,56,31,18.0,2.0,5.0,0.0,0.0
Black Swamp Microbrewery,Microbrewery,Ohio,56,31,18.0,2.0,5.0,0.0,0.0
Black Box Brewing Co.,Microbrewery,Ohio,56,31,18.0,2.0,5.0,0.0,0.0
BarrelHouse Brewing Company/Heritage Brewing Co.,Brewpub,Ohio,56,31,18.0,2.0,5.0,0.0,0.0
Barley's Smokehouse & Brewpub (No. 2),Brewpub,Ohio,56,31,18.0,2.0,5.0,0.0,0.0
Barley's Smokehouse & Brewpub,Brewpub,Ohio,56,31,18.0,2.0,5.0,0.0,0.0
Anheuser-Busch Inc. - Columbus,Microbrewery,Ohio,56,31,18.0,2.0,5.0,0.0,0.0
All American Brewing Co.,Microbrewery,Ohio,56,31,18.0,2.0,5.0,0.0,0.0
"7 Bears, LLC ",ContractBrewery,Ohio,56,31,18.0,2.0,5.0,0.0,0.0
Tulsa Brewing Co.,Brewpub,Oklahoma,16,8,6.0,0.0,2.0,0.0,0.0
T Pauls Beer Company,ContractBrewery,Oklahoma,16,8,6.0,0.0,2.0,0.0,0.0
"Royal Bavaria Brewhouse, Restaurant & Biergarten",Brewpub,Oklahoma,16,8,6.0,0.0,2.0,0.0,0.0
Pete's Place/ Kreb's Brewing Co.,Brewpub,Oklahoma,16,8,6.0,0.0,2.0,0.0,0.0
Oklahoma Brewing Ltd. Co.,Microbrewery,Oklahoma,16,8,6.0,0.0,2.0,0.0,0.0
Norman Brewing Co.,Brewpub,Oklahoma,16,8,6.0,0.0,2.0,0.0,0.0
"Marshall Brewing Co, LLC",ContractBrewery,Oklahoma,16,8,6.0,0.0,2.0,0.0,0.0
Interurban Brewing Co.,Brewpub,Oklahoma,16,8,6.0,0.0,2.0,0.0,0.0
Huebert Brewing Co.,Microbrewery,Oklahoma,16,8,6.0,0.0,2.0,0.0,0.0
Coop Ale Works,Microbrewery,Oklahoma,16,8,6.0,0.0,2.0,0.0,0.0
Coachs Brewing Co.,Brewpub,Oklahoma,16,8,6.0,0.0,2.0,0.0,0.0
Cherry Street Brewing Co.,Microbrewery,Oklahoma,16,8,6.0,0.0,2.0,0.0,0.0
Bricktown Brewery,Brewpub,Oklahoma,16,8,6.0,0.0,2.0,0.0,0.0
Belle Island Restaurant & Brewing Co.,Brewpub,Oklahoma,16,8,6.0,0.0,2.0,0.0,0.0
Battered Boar Brewing Co,Microbrewery,Oklahoma,16,8,6.0,0.0,2.0,0.0,0.0
Barleyfield Brewing Company,Microbrewery,Oklahoma,16,8,6.0,0.0,2.0,0.0,0.0
Walkabout Brewing Co.,Microbrewery,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Wakonda Brewing Co.,Microbrewery,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Upright Brewing Co.,Microbrewery,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Upright Brewing Co,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Umpqua Brewing Co.,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Tuscany's Ristorante & Pizzeria,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Tugboat Brewing Company,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Three Creeks Brewing Co,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Thompson Brewery & Public House,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
The Riverwood Pub,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
The Greenway Pub,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
The Fox & Firkin,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
The Crystal Ballroom & Ringlers Pub,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Terminal Gravity,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Strickland Brewing Co.,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Steelhead Brewery & Cafe,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Star Brewing Company (Portland),Microbrewery,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Standing Stone Brewing Company,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
St. Johns Pub,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Spencer's Restaurant & Brewhouse,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Southern Oregon Brewing Co.,Microbrewery,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Siskiyou Brewing Company,Microbrewery,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Silver Moon Brewing ,Microbrewery,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Siletz Ales/Calapooia Brewing Co.,Microbrewery,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Seventh Street Brew House,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Saxer Brewing Company,Microbrewery,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Roots Organic Brewing Co.,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Rogue Ales Public House,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Rogue Ales Public House,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Rogue Ales Brewery & Headquarters,Microbrewery,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Rogers Zoo & Brew Pub Pizzaratorium (Zoo),Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Rogers Zoo & Brew Pub Pizzaratorium,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Rock Creek Tavern,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Rock Bottom Brewery (Portland),Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Ringlers Annex,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Rams Head,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
RAM/Big Horn Brewery,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Raleigh Hills Pub,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Raccoon Roadhouse & Lodge,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Portland Brewing Co.,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Portland Brewing - Brewhouse Taproom,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Philadelphia's Steaks & Hoagies,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Pelican Pub & Brewery,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Peak Northwest Brewing Co.,Microbrewery,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Pacific Rim Brewing Co.,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Oregon Trail Brewery,Microbrewery,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Oregon Trader Brewing Company,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Oregon Fields Brewing Company,Microbrewery,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Old Market Pub,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Old Chicago,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Off The Rail Brewery,Microbrewery,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Oak Hills Brewpub,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
NW Pizza & Pasta,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
North Bank,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Ninkasi Brewing Co.,Microbrewery,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
New Old Lompoc,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Murray & Allen McMenamins,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Multnomah Brewing Co.,Microbrewery,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Mt. Hood Brewing Company,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Mt. Angel Brewing Company,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Mt Emily Ale House,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Mount Hood Brewing Co.,Microbrewery,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Mission Theatre & Pub,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Mia & Pia's Pizzeria & Brewhouse,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
McMenamins Tavern & Pool,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
McMenamins Sunnyside,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
McMenamins Sherwood Pub,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
McMenamins Roseburg Station,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
McMenamins Pub 206,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
McMenamins Pub & Brewery in West Linn,Microbrewery,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
McMenamins Oregon City,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
McMenamins on Monroe,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
McMenamins on Broadway,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
McMenamins Old St. Francis Pub,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
McMenamins High Street Brewery,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
McMenamins Crystal Ballroom Brewery,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
McMenamins Corvallis,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
McMenamins Breweries (Corp),Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
McMenamins Boons Treasury,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Mash Tun Brewing,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Maroney Sausage Est./Widmer,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Market Street Pub,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Mall 205 (McMenamins),Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Main Street Ale House,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Lucky Labrador Brew Pub,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Lucky Labrador Beer Hall,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
"Lompoc Brewing, LLC/ The 5th Quadrant",Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Lighthouse Brewpub,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Laurelwood Public House and Brewery,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Klamath Basin Brewing,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Kennedy School,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Karlsson Brewing Co.,Microbrewery,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
John Barleycorns Pub & Brewery,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
House of Rogue Bed & Beer & Public House,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Hotel Oregon,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Horse Brass Pub,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Hopworks Urban Brewery,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Hop Valley Brewing Co,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Hillsdale Brewery & Public House,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Highland Pub & Brewery,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
High Street Brewery & Caf\E9,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Hawks Brewing Co.,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Hair of the Dog Brewing Company,Microbrewery,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Green Dragon Brewery and Bistro,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Greater Trumps,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Golden Valley Brewery & Pub,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Fulton Pub & Brewery,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Full Sail Pilsner Room\Riverplace Brewery,Microbrewery,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Full Sail Brewing Co. Tasting Room & Pub,RegionalBrewery,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Fort George Brewery ,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Fire Mountain Brew House,Microbrewery,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Fearless Brewing Co.,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Elliot Glacier Public House,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
"Edgefield, PowerStation Theatre and Pub",Microbrewery,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
E. 19th Cafe McMenamins,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Double Mountain Brewery,Microbrewery,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Deschutes Brewery & Public House,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Deschutes Brewery,Microbrewery,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Cornucopia,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Cornelius Pass Roadhouse & Brewery,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Clinton Street Brewery,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Cedar Hills McMenamins,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Cascade Microbrewery & Firehouse Pub,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Cascade Lakes Brewery,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Cascade Lakes Brewery,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Captured by Porches Brewing Co,Microbrewery,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Caldera Brewing Company,Microbrewery,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Calapooia Brewing Company,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Bridgeport Brewing Co. Brewpub,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Bridgeport Brewing Co. Ale House,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Brew Masters,BOP-BrewOnPremise,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Blue Pine Brewing Company,Microbrewery,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Blue Mountain Brewing,Microbrewery,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Blue Moon Tavern & Grill,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Blue Monk,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Blitz-Weinhard Co.,Microbrewery,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
"BJ's Pizza, Grill & Brewery (Lloyd Center)",Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
"BJ's Pizza, Grill & Brewery (Jantzen Beach)",Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
BJ's Pizza & Grill,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Bill's Tavern & Brewhouse,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Big Horse Brewpub,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Big Horn Brewing Company/Ram Restaurant,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Big Horn Brewing Co.,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Bend Brewing Co.,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Beer Valley Brewing Co.,Microbrewery,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Barley Mill Pub (McMenamins),Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Barley Browns Brewpub,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Bank Brewing Company,Microbrewery,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Bandon Brewing Co.,Microbrewery,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Bagdad Cafe & Theatre,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
"B. Moloch, The Heathman Bakery & Pub",Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Astoria Brewing Co/Wet Dog Cafe ,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Amnesia Brewing Company,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Alameda Brewing Co.,Brewpub,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Abraxus Brewing Co LLC,ContractBrewery,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
10 Barrel Brewing Co,ContractBrewery,Oregon,156,119,33.0,1.0,2.0,0.0,1.0
Wainwright Brewing Company,Brewpub,Pennsylvania,107,65,26.0,3.0,12.0,0.0,1.0
Voodoo Brewing Co.,Microbrewery,Pennsylvania,107,65,26.0,3.0,12.0,0.0,1.0
Victory Brewing Company,Microbrewery,Pennsylvania,107,65,26.0,3.0,12.0,0.0,1.0
Valley Forge Brewing Co.,Brewpub,Pennsylvania,107,65,26.0,3.0,12.0,0.0,1.0
Union Barrel Works,Brewpub,Pennsylvania,107,65,26.0,3.0,12.0,0.0,1.0
Ugly Dog Brewery,Microbrewery,Pennsylvania,107,65,26.0,3.0,12.0,0.0,1.0
Tun Tavern Brewing Company,ContractBrewery,Pennsylvania,107,65,26.0,3.0,12.0,0.0,1.0
Troegs Brewing Co.,Microbrewery,Pennsylvania,107,65,26.0,3.0,12.0,0.0,1.0
Triumph Brewing Co of Philadelphia,Brewpub,Pennsylvania,107,65,26.0,3.0,12.0,0.0,1.0
Triumph Brewing Co of New Hope,Brewpub,Pennsylvania,107,65,26.0,3.0,12.0,0.0,1.0
Three Rivers Brewing Company,Microbrewery,Pennsylvania,107,65,26.0,3.0,12.0,0.0,1.0
"The Lion Brewery, Inc.",Microbrewery,Pennsylvania,107,65,26.0,3.0,12.0,0.0,1.0
Swashbuckler Brewing Co.,Brewpub,Pennsylvania,107,65,26.0,3.0,12.0,0.0,1.0
Straub Brewery,Microbrewery,Pennsylvania,107,65,26.0,3.0,12.0,0.0,1.0
Stoudt Brewing Company,Brewpub,Pennsylvania,107,65,26.0,3.0,12.0,0.0,1.0
Starview Brewing Company,Brewpub,Pennsylvania,107,65,26.0,3.0,12.0,0.0,1.0
Sprague Farm & Brew Works,Brewpub,Pennsylvania,107,65,26.0,3.0,12.0,0.0,1.0
Sly Fox Brewhouse & Eatery,Brewpub,Pennsylvania,107,65,26.0,3.0,12.0,0.0,1.0
Sly Fox Brewhouse & Eatery,Microbrewery,Pennsylvania,107,65,26.0,3.0,12.0,0.0,1.0
Selinsgrove Brewing Company,Brewpub,Pennsylvania,107,65,26.0,3.0,12.0,0.0,1.0
Rock Bottom Brewery - King Of Prussia,Brewpub,Pennsylvania,107,65,26.0,3.0,12.0,0.0,1.0
Rock Bottom Brewery - Homestead,Brewpub,Pennsylvania,107,65,26.0,3.0,12.0,0.0,1.0
Rivertowne Pour House,Brewpub,Pennsylvania,107,65,26.0,3.0,12.0,0.0,1.0
Red Star Brewery & Grille,Brewpub,Pennsylvania,107,65,26.0,3.0,12.0,0.0,1.0
RED BELL Brewing Company,Microbrewery,Pennsylvania,107,65,26.0,3.0,12.0,0.0,1.0
Red Bell Brewery & Pub,Brewpub,Pennsylvania,107,65,26.0,3.0,12.0,0.0,1.0
Pretzel City Brewing Co.,ContractBrewery,Pennsylvania,107,65,26.0,3.0,12.0,0.0,1.0
Porterhouse Restaurant & Brewpub,Brewpub,Pennsylvania,107,65,26.0,3.0,12.0,0.0,1.0
Pittsburgh Brewing Co.,Microbrewery,Pennsylvania,107,65,26.0,3.0,12.0,0.0,1.0
Philadelphia Brewing Company (Sam Adams),Microbrewery,Pennsylvania,107,65,26.0,3.0,12.0,0.0,1.0
Pennsylvania Brewing Company,ContractBrewery,Pennsylvania,107,65,26.0,3.0,12.0,0.0,1.0
Ottos Pub & Brewery ,Brewpub,Pennsylvania,107,65,26.0,3.0,12.0,0.0,1.0
North Country Brewing Co.,Brewpub,Pennsylvania,107,65,26.0,3.0,12.0,0.0,1.0
Nodding Head Brewing Co.,Brewpub,Pennsylvania,107,65,26.0,3.0,12.0,0.0,1.0
Neversink Brewing Co.,Brewpub,Pennsylvania,107,65,26.0,3.0,12.0,0.0,1.0
Neuwiler Brewing Co.,ContractBrewery,Pennsylvania,107,65,26.0,3.0,12.0,0.0,1.0
Neuweiler Brewing Company,Microbrewery,Pennsylvania,107,65,26.0,3.0,12.0,0.0,1.0
Murdering Town Brewing,Microbrewery,Pennsylvania,107,65,26.0,3.0,12.0,0.0,1.0
McKenzie Brew House (#2),Brewpub,Pennsylvania,107,65,26.0,3.0,12.0,0.0,1.0
McKenzie Brew House,Brewpub,Pennsylvania,107,65,26.0,3.0,12.0,0.0,1.0
Marzonis Brick Oven & Brewery,Brewpub,Pennsylvania,107,65,26.0,3.0,12.0,0.0,1.0
Market Cross Pub & Brewery,Brewpub,Pennsylvania,107,65,26.0,3.0,12.0,0.0,1.0
Manayunk Malt & Hops Co.,Microbrewery,Pennsylvania,107,65,26.0,3.0,12.0,0.0,1.0
Manayunk Brewing Co. & Restaurant,Brewpub,Pennsylvania,107,65,26.0,3.0,12.0,0.0,1.0
Manayunk Brewing Co. & Harry's Pub,Brewpub,Pennsylvania,107,65,26.0,3.0,12.0,0.0,1.0
"Lion Brewery Inc, The",RegionalBrewery,Pennsylvania,107,65,26.0,3.0,12.0,0.0,1.0
Legacy Brewing ,Microbrewery,Pennsylvania,107,65,26.0,3.0,12.0,0.0,1.0
Lancaster Malt Brewing Co.,Brewpub,Pennsylvania,107,65,26.0,3.0,12.0,0.0,1.0
Kutztown Tavern / Golden Avalanche Brewing Co.,Brewpub,Pennsylvania,107,65,26.0,3.0,12.0,0.0,1.0
Kclingers Tavern,ContractBrewery,Pennsylvania,107,65,26.0,3.0,12.0,0.0,1.0
Jones Brewing Company,ContractBrewery,Pennsylvania,107,65,26.0,3.0,12.0,0.0,1.0
Johnstown Brewing Co.,Microbrewery,Pennsylvania,107,65,26.0,3.0,12.0,0.0,1.0
John Harvey's Brew House,Brewpub,Pennsylvania,107,65,26.0,3.0,12.0,0.0,1.0
John Harvards Brew House - Wilkins Township,Brewpub,Pennsylvania,107,65,26.0,3.0,12.0,0.0,1.0
Iron Hill Brewery & Restaurant - North Whales,Brewpub,Pennsylvania,107,65,26.0,3.0,12.0,0.0,1.0
Iron Hill Brewery & Restaurant - Media,Brewpub,Pennsylvania,107,65,26.0,3.0,12.0,0.0,1.0
Iron Hill Brewery & Restaurant,Brewpub,Pennsylvania,107,65,26.0,3.0,12.0,0.0,1.0
Iron Hill Brewery & Restaurant,Brewpub,Pennsylvania,107,65,26.0,3.0,12.0,0.0,1.0
Iron City Brewing Co.,ContractBrewery,Pennsylvania,107,65,26.0,3.0,12.0,0.0,1.0
Intercourse Brewing Co,ContractBrewery,Pennsylvania,107,65,26.0,3.0,12.0,0.0,1.0
Independence Brewing Company,Microbrewery,Pennsylvania,107,65,26.0,3.0,12.0,0.0,1.0
Hofbrauhaus Pittsburgh,Brewpub,Pennsylvania,107,65,26.0,3.0,12.0,0.0,1.0
Hofbrauhaus Brewery & Biergarten,Brewpub,Pennsylvania,107,65,26.0,3.0,12.0,0.0,1.0
Hereford and Hops Steakhouse & Brewpub,Brewpub,Pennsylvania,107,65,26.0,3.0,12.0,0.0,1.0
Hanover Brewing Co.,Microbrewery,Pennsylvania,107,65,26.0,3.0,12.0,0.0,1.0
GG Brewers,Brewpub,Pennsylvania,107,65,26.0,3.0,12.0,0.0,1.0
Gettysburg Brewing Company,Brewpub,Pennsylvania,107,65,26.0,3.0,12.0,0.0,1.0
GettysBrew,Brewpub,Pennsylvania,107,65,26.0,3.0,12.0,0.0,1.0
General Lafeyette Inn & Brewery,Brewpub,Pennsylvania,107,65,26.0,3.0,12.0,0.0,1.0
Freedom Brewing,Microbrewery,Pennsylvania,107,65,26.0,3.0,12.0,0.0,1.0
Fredimo Bottlers Inc.,ContractBrewery,Pennsylvania,107,65,26.0,3.0,12.0,0.0,1.0
Franconia Brewing Co.,Microbrewery,Pennsylvania,107,65,26.0,3.0,12.0,0.0,1.0
Foundry AleWorks Company,Brewpub,Pennsylvania,107,65,26.0,3.0,12.0,0.0,1.0
Firehouse Brewpub,Brewpub,Pennsylvania,107,65,26.0,3.0,12.0,0.0,1.0
Erie Brewing Company,Brewpub,Pennsylvania,107,65,26.0,3.0,12.0,0.0,1.0
Elk Creek Cafe & Aleworks,Brewpub,Pennsylvania,107,65,26.0,3.0,12.0,0.0,1.0
East End Brewing Co.,Microbrewery,Pennsylvania,107,65,26.0,3.0,12.0,0.0,1.0
Earth Bread + Brewery,Brewpub,Pennsylvania,107,65,26.0,3.0,12.0,0.0,1.0
Duquesne Brewing of Pittsburgh,Microbrewery,Pennsylvania,107,65,26.0,3.0,12.0,0.0,1.0
Dock Street Brewing Co. #3,ContractBrewery,Pennsylvania,107,65,26.0,3.0,12.0,0.0,1.0
Dock Street Brewing Co.,Brewpub,Pennsylvania,107,65,26.0,3.0,12.0,0.0,1.0
Dock Street Brewery,Microbrewery,Pennsylvania,107,65,26.0,3.0,12.0,0.0,1.0
"D.G. Yuengling & Son, Inc.",RegionalBrewery,Pennsylvania,107,65,26.0,3.0,12.0,0.0,1.0
"D.G. Yuengling & Son, Inc.",RegionalBrewery,Pennsylvania,107,65,26.0,3.0,12.0,0.0,1.0
Crooked Creek Brewery,ContractBrewery,Pennsylvania,107,65,26.0,3.0,12.0,0.0,1.0
Crabby Larrys Brew Pub,Brewpub,Pennsylvania,107,65,26.0,3.0,12.0,0.0,1.0
Cooper Kettle Brewery,Microbrewery,Pennsylvania,107,65,26.0,3.0,12.0,0.0,1.0
Church Brew Works/ Lawrenceville Brewery Inc.,Brewpub,Pennsylvania,107,65,26.0,3.0,12.0,0.0,1.0
Canal Street Pub & Restaurant,Brewpub,Pennsylvania,107,65,26.0,3.0,12.0,0.0,1.0
Bullfrog Brewing Company,Brewpub,Pennsylvania,107,65,26.0,3.0,12.0,0.0,1.0
